Timestamp,Price,Volume,Sell_Buy
2024-01-01 03:47:19+00:00,78.33,1037,sell
2024-01-01 17:33:34+01:00,34.14,,Sell
2024-01-01 15:48:47+00:00,24.52,1805,BUY
2024-01-01 15:26:36+00:00,95.42,1319,buy
2024-01-01 07:15:19+00:00,65.96,1612,BUY
2024-01-01 23:54:10+00:00,26.28,1313,SELL
2024-01-01 16:17:29+00:00,63.61,1551,buy
2024-01-01 01:19:15+00:00,77.58,1254,SELL
2024-01-01 02:01:02+01:00,28.35,1331,Sell
2024-01-01 03:15:52+00:00,80.39,1275,Buy
2024-01-01 15:15:24+00:00,39.64,1935,BUY
2024-01-01 23:44:50+00:00,32.33,,SELL
2024-01-01 12:46:00+01:00,28.85,1385,Buy
2024-01-01 16:50:49+00:00,29.12,1777,BUY
2024-01-01 11:28:46+00:00,NaN,1921,Sell
2024-01-01 08:17:23+00:00,73.87,1804,SELL
2024-01-01 23:03:50+00:00,64.89,1867,SELL
2024-01-01 00:58:50+00:00,92.32,1188,BUY
2024-01-01 12:05:57+00:00,57.69,820,Sell
2024-01-01 00:25:10+01:00,66.5,1614,buy
2024-01-01 21:36:19+00:00,93.81,434,BUY
2024-01-01 09:32:55+00:00,65.9,1063,sell
2024-01-01 23:12:46+00:00,24.87,659,BUY
2024-01-01 14:02:18+00:00,20.76,1472,sell
2024-01-01 17:18:14+00:00,59.34,1681,Buy
2024-01-01 01:11:08+01:00,50.65,154,SELL
2024-01-01 12:59:39+00:00,31.23,703,SELL
2024-01-01 04:16:11+00:00,68.81,1302,BUY
2024-01-01 01:44:53+00:00,70.36,1486,sell
2024-01-01 02:30:27+00:00,46.6,264,SELL
2024-01-01 21:12:36+00:00,94.47,NaN,buy
2024-01-01 00:32:00+01:00,68.06,1310,SELL
2024-01-01 15:47:38+00:00,NaN,256,SELL
2024-01-01 17:58:32+00:00,39.1,484,SELL
2024-01-01 15:04:23+00:00,47.58,555,BUY
2024-01-01 19:39:48+00:00,46.29,61,Buy
2024-01-01 05:34:26+00:00,52.43,381,Buy
2024-01-01 01:54:10+00:00,96.89,1662,buy
2024-01-01 17:42:45+00:00,56.12,512,SELL
2024-01-01 17:17:18+00:00,94.45,869,SELL
2024-01-01 15:12:18+01:00,25.0,104,buy
2024-01-01 04:51:11+00:00,48.65,1914,SELL
2024-01-01 07:38:50+01:00,82.4,226,BUY
2024-01-01 13:54:43+01:00,41.15,518,SELL
2024-01-01 11:57:32+00:00,79.51,919,BUY
2024-01-01 00:16:22+00:00,80.43,1872,SELL
2024-01-01 03:07:27+00:00,64.02,436,Sell
2024-01-01 09:46:21+00:00,81.6,18186,Buy
2024-01-01 13:34:24+00:00,57.58,NaN,Sell
2024-01-01 01:07:43+00:00,84.94,,BUY
2024-01-01 12:13:46+00:00,90.0,1565,SELL
2024-01-01 00:43:40+00:00,59.93,58,Sell
2024-01-01 20:53:36+00:00,43.47,436,Buy
2024-01-01 08:11:30+01:00,51.12,1592,Sell
2024-01-01 09:04:12+00:00,33.22,1434,sell
2024-01-01 08:26:00+01:00,69.91,1994,Sell
2024-01-01 10:19:59+00:00,61.5,812,Sell
2024-01-01 03:29:22+00:00,41.18,217,Buy
2024-01-01 15:14:47+01:00,20.48,269,BUY
2024-01-01 13:56:04+01:00,26.74,283,buy
2024-01-01 19:37:57+00:00,69.7,443,buy
2024-01-01 19:46:38+00:00,86.72,NaN,Sell
2024-01-01 23:02:26+00:00,47.25,1068,SELL
2024-01-01 01:17:05+00:00,69.79,1730,BUY
2024-01-01 17:19:23+00:00,67.94,1723,sell
2024-01-01 23:43:37+00:00,96.93,616,buy
2024-01-01 14:34:43+00:00,29.64,1500,SELL
2024-01-01 20:49:18+00:00,54.43,1343,sell
2024-01-01 01:49:45+00:00,58.41,799,sell
2024-01-01 18:38:53+01:00,68.33,1608,buy
2024-01-01 12:51:42+00:00,76.19,1936,sell
2024-01-01 09:05:26+00:00,81.21,1916,buy
2024-01-01 16:42:30+00:00,70.87,679,BUY
2024-01-01 10:04:00+00:00,51.83,1440,buy
2024-01-01 21:06:33+00:00,85.71,1377,buy
2024-01-01 19:19:39+01:00,77.27,1022,buy
2024-01-01 18:47:57+00:00,27.43,1671,Buy
2024-01-01 06:31:46+00:00,46.32,1922,buy
2024-01-01 19:25:37+00:00,28.23,1998,buy
2024-01-01 15:00:43+00:00,20.87,190,BUY
2024-01-01 19:40:46+00:00,37.26,1429,SELL
2024-01-01 02:36:51+00:00,35.76,1755,SELL
2024-01-01 10:13:28+00:00,30.02,1860,sell
2024-01-01 01:02:42+00:00,24.1,1595,SELL
2024-01-01 13:44:16+00:00,67.24,367,Buy
2024-01-01 18:12:53+00:00,49.58,1570,BUY
2024-01-01 00:43:26+00:00,62.29,783,Sell
2024-01-01 20:08:15+01:00,96.23,655,sell
2024-01-01 04:15:07+01:00,67.93,33442,buy
2024-01-01 19:01:24+00:00,80.96,1450,SELL
2024-01-01 09:49:49+01:00,40.02,641,Sell
2024-01-01 22:16:12+00:00,28.98,550,BUY
2024-01-01 02:27:01+00:00,47.14,563,BUY
2024-01-01 15:50:37+01:00,34.45,1586,Buy
2024-01-01 17:17:04+00:00,4415.04,1869,Buy
2024-01-01 21:08:29+00:00,82.27,1864,Sell
2024-01-01 10:41:47+00:00,NaN,135,sell
2024-01-01 02:01:54+00:00,49.26,1924,Buy
2024-01-01 22:23:52+00:00,87.48,612,Sell
2024-01-01 16:08:01+00:00,24.72,1355,BUY
2024-01-01 18:15:43+01:00,42.96,1552,Sell
2024-01-01 19:16:27+00:00,91.88,71,buy
